PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,RST%
Chris Godwin,WR,TB,ATL,-127,48.00,-1.50,24.75,5600,9.09,1.6,6.30
Trey McBride,TE,ARI,NO,-257,42.50,-6.00,24.25,6200,14.41,2.3,6.20
Nico Collins,WR,HOU,LAR,121,44.50,2.50,21.00,7400,15.05,2.0,6.20
Adonai Mitchell,WR,IND,MIA,-125,46.50,-2.00,24.25,3400,5.77,1.7,6.15
Jayden Reed,WR,GB,DET,-120,49.50,-1.50,25.50,5400,10.76,2.0,5.93
David Njoku,TE,CLE,CIN,202,46.50,6.00,20.25,4700,10.46,2.2,5.90
Zamir White,RB,LV,NE,128,42.50,3.00,19.75,4000,1.17,0.3,5.78
Austin Ekeler,RB,WAS,NYG,-284,45.50,-6.00,25.75,4800,7.95,1.7,5.73
Chuba Hubbard,RB,CAR,JAX,129,46.00,3.00,21.50,6000,12.26,2.0,5.70
Calvin Ridley,WR,TEN,DEN,295,41.50,7.50,17.00,5000,10.61,2.1,5.62
Dalton Schultz,TE,HOU,LAR,121,44.50,2.50,21.00,3500,6.74,1.9,5.47
Rhamondre Stevenson,RB,NE,LV,-152,42.50,-3.00,22.75,5400,9.08,1.7,5.41
Andrei Iosivas,WR,CIN,CLE,-246,46.50,-6.00,26.25,3700,4.68,1.3,5.38
George Kittle,TE,SF,SEA,-136,45.00,-2.50,23.75,5800,13.65,2.3,5.03
Tua Tagovailoa,QB,MIA,IND,106,46.50,2.00,22.25,5800,15.25,2.6,5.01
Pat Freiermuth,TE,PIT,NYJ,-152,38.00,-3.00,20.50,3200,6.65,2.1,5.01
Tyjae Spears,RB,TEN,DEN,295,41.50,7.50,17.00,4700,6.63,1.4,4.99
Tyler Lockett,WR,TEN,DEN,295,41.50,7.50,17.00,4000,4.95,1.2,4.90
Jared Goff,QB,DET,GB,100,49.50,1.50,24.00,6500,16.64,2.6,4.68
Justin Fields,QB,NYJ,PIT,129,38.00,3.00,17.50,5400,15.21,2.8,4.64
